Name,Link,Year,GRAPHICS PROCESSOR,CORES,TMUS,ROPS,MEMORY SIZE,MEMORY TYPE,BUS WIDTH,GPU Name,GPU Variant,Architecture,Foundry,Process Size,Transistors,Die Size,Release Date,Generation,Production,Launch Price,GPU Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,Shading Units,TMUs,ROPs,Compute Units,Pixel Rate,Texture Rate,FP32 (float) performance,Length,Width,Height,Weight,TDP,Outputs,DirectX,OpenGL,OpenCL,Vulkan,Shader Model,Bus Interface,Reviews,L1 Cache,L2 Cache,Slot Width,Suggested PSU,Power Connectors,Predecessor,Successor,FP64 (double) performance,Board Number,Base Clock,Boost Clock,PIXEL SHADERS,VERTEX SHADERS,Pixel Shaders,Vertex Shaders,Vertex Rate,Pixel Shader,Vertex Shader,Part Number
Xbox 360 E GPU,https://www.techpowerup.com/gpu-specs/xbox-360-e-gpu.c3649,2013,Xenos Corona,240,16,8,512 MB,GDDR3,128 bit,Xenos Corona,Crayola 6,TeraScale,TSMC,45 nm,372 million,168 mm²,"Jun 10th, 2013","Console GPU
(Microsoft)",End-of-life,299 USD,500 MHz,"700 MHz
1400 Mbps effective",512 MB,GDDR3,128 bit,22.40 GB/s,240,16,8,3,4.000 GPixel/s,8.000 GTexel/s,240.0 GFLOPS,"264 mm
10.4 inches","254 mm
10 inches","67 mm
2.6 inches",2.9 kg (6.3 lbs),120 W,No outputs,9.0c (9_3),N/A,N/A,N/A,3.0,,,,,,,,,,,,,,,,,,,,,
FirePro V7760,https://www.techpowerup.com/gpu-specs/firepro-v7760.c1791,2012,RV770,800,40,8,1024 MB,GDDR3,128 bit,RV770,"RV770 XT
(215-0669049)",TeraScale,TSMC,55 nm,956 million,256 mm²,2012,"FirePro
(Vx700)",End-of-life,,750 MHz,"850 MHz
1700 Mbps effective",1024 MB,GDDR3,128 bit,27.20 GB/s,800,40,8,10,6.000 GPixel/s,30.00 GTexel/s,"1,200 GFLOPS","234 mm
9.2 inches","111 mm
4.4 inches",,,76 W,1x DVI,10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,10 in our database,16 KB (per CU),128 KB,Single-slot,250 W,1x 6-pin,,,,,,,,,,,,,,
FirePro V7770,https://www.techpowerup.com/gpu-specs/firepro-v7770.c1790,2012,RV770,800,40,8,1024 MB,GDDR4,128 bit,RV770,"RV770 XT
(215-0669049)",TeraScale,TSMC,55 nm,956 million,256 mm²,2012,"FirePro
(Vx700)",End-of-life,,625 MHz,"1050 MHz
2.1 Gbps effective",1024 MB,GDDR4,128 bit,33.60 GB/s,800,40,8,10,5.000 GPixel/s,25.00 GTexel/s,"1,000 GFLOPS","234 mm
9.2 inches","111 mm
4.4 inches",,,76 W,1x DVI,10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,10 in our database,16 KB (per CU),128 KB,Single-slot,250 W,1x 6-pin,,,,,,,,,,,,,,
Mobility Radeon HD 5570,https://www.techpowerup.com/gpu-specs/mobility-radeon-hd-5570.c2217,2012,Pinewood,400,20,8,1024 MB,GDDR3,128 bit,Pinewood,"Pinewood MXM
(215-0757056)",TeraScale 2,TSMC,40 nm,627 million,104 mm²,"Nov 23rd, 2012","Manhattan
(Mobility HD 5500)",End-of-life,,550 MHz,"800 MHz
1600 Mbps effective",1024 MB,GDDR3,128 bit,25.60 GB/s,400,20,8,5,4.400 GPixel/s,11.00 GTexel/s,440.0 GFLOPS,,,,,20 W,No outputs,11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,2 in our database,8 KB (per CU),256 KB,,,,M9x,Vancouver,,,,,,,,,,,,
Radeon HD 5470,https://www.techpowerup.com/gpu-specs/radeon-hd-5470.c2062,2012,Cedar,80,8,4,512 MB,GDDR3,64 bit,Cedar,Cedar PRO,TeraScale 2,TSMC,40 nm,292 million,59 mm²,"Feb 13th, 2012","Evergreen
(HD 5400)",End-of-life,,650 MHz,"400 MHz
800 Mbps effective",512 MB,GDDR3,64 bit,6.400 GB/s,80,8,4,2,2.600 GPixel/s,5.200 GTexel/s,104.0 GFLOPS,"170 mm
6.7 inches",,,,19 W,"1x DVI
1x HDMI 1.3a
1x VGA",11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,,8 KB (per CU),128 KB,Single-slot,200 W,None,Radeon R700,Northern Islands,,,,,,,,,,,,
Radeon HD 5490,https://www.techpowerup.com/gpu-specs/radeon-hd-5490.c2061,2012,Cedar,80,8,4,1024 MB,GDDR3,64 bit,Cedar,Cedar XTX,TeraScale 2,TSMC,40 nm,292 million,59 mm²,"Oct 28th, 2012","Evergreen
(HD 5400)",End-of-life,,650 MHz,"500 MHz
1000 Mbps effective",1024 MB,GDDR3,64 bit,8.000 GB/s,80,8,4,2,2.600 GPixel/s,5.200 GTexel/s,104.0 GFLOPS,"170 mm
6.7 inches",,,,19 W,"1x DVI
1x HDMI 1.3a
1x VGA",11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,,8 KB (per CU),128 KB,Single-slot,200 W,None,Radeon R700,Northern Islands,,,,,,,,,,,,
FirePro V7800P,https://www.techpowerup.com/gpu-specs/firepro-v7800p.c1876,2011,Cypress,1440,72,32,2 GB,GDDR5,256 bit,Cypress,Cypress PRO GL,TeraScale 2,TSMC,40 nm,"2,154 million",334 mm²,"May 16th, 2011","FirePro
(Vx800)",End-of-life,"1,249 USD",700 MHz,"1000 MHz
4 Gbps effective",2 GB,GDDR5,256 bit,128.0 GB/s,1440,72,32,18,22.40 GPixel/s,50.40 GTexel/s,2.016 TFLOPS,"241 mm
9.5 inches","111 mm
4.4 inches",,,138 W,1x DisplayPort 1.1,11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,1 in our database,8 KB (per CU),512 KB,Single-slot,300 W,1x 6-pin,,,403.2 GFLOPS (1:5),C111-81,,,,,,,,,,
Radeon HD 4450,https://www.techpowerup.com/gpu-specs/radeon-hd-4450.c2079,2011,RV710,80,8,4,512 MB,DDR2,64 bit,RV710,"RV710
(215-0725016)",TeraScale,TSMC,55 nm,242 million,73 mm²,"Nov 18th, 2011","Radeon R700
(HD 4400)",End-of-life,,600 MHz,"400 MHz
800 Mbps effective",512 MB,DDR2,64 bit,6.400 GB/s,80,8,4,1,2.400 GPixel/s,4.800 GTexel/s,96.00 GFLOPS,"168 mm
6.6 inches",,,,25 W,"1x DVI
1x HDMI 1.3a
1x DisplayPort 1.0",10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,,16 KB (per CU),64 KB,Single-slot,200 W,None,Radeon R600,Evergreen,,,,,,,,,,,,
Radeon HD 4580,https://www.techpowerup.com/gpu-specs/radeon-hd-4580.c2078,2011,RV635,120,8,4,512 MB,GDDR3,128 bit,RV635,"RV635 PRO
(215-0682008)",TeraScale,TSMC,55 nm,378 million,135 mm²,"Nov 20th, 2011","Radeon R700
(HD 4500)",End-of-life,,796 MHz,"693 MHz
1386 Mbps effective",512 MB,GDDR3,128 bit,22.18 GB/s,120,8,4,3,3.184 GPixel/s,6.368 GTexel/s,191.0 GFLOPS,"190 mm
7.5 inches",,,,65 W,"2x DVI
1x S-Video",10.1 (10_1),3.3,N/A,N/A,4.1,PCIe 2.0 x16,,,128 KB,Single-slot,250 W,None,Radeon R600,Evergreen,,,,,,,,,,,,
Radeon HD 4720,https://www.techpowerup.com/gpu-specs/radeon-hd-4720.c2080,2011,RV730,320,32,8,1024 MB,GDDR3,128 bit,RV730,"RV730 XT
(215-0719047)",TeraScale,TSMC,55 nm,514 million,146 mm²,"Dec 11th, 2011","Radeon R700
(HD 4700)",End-of-life,,600 MHz,"667 MHz
1334 Mbps effective",1024 MB,GDDR3,128 bit,21.34 GB/s,320,32,8,4,4.800 GPixel/s,19.20 GTexel/s,384.0 GFLOPS,"193 mm
7.6 inches",,,,55 W,"2x DVI
1x S-Video",10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,,16 KB (per CU),128 KB,Single-slot,250 W,,Radeon R600,Evergreen,,,,,,,,,,,,
Radeon HD 5530,https://www.techpowerup.com/gpu-specs/radeon-hd-5530.c2063,2011,Cedar,80,8,4,1024 MB,GDDR3,64 bit,Cedar,Cedar XTX,TeraScale 2,TSMC,40 nm,292 million,59 mm²,"Mar 17th, 2011","Evergreen
(HD 5500)",End-of-life,,650 MHz,"600 MHz
1200 Mbps effective",1024 MB,GDDR3,64 bit,9.600 GB/s,80,8,4,2,2.600 GPixel/s,5.200 GTexel/s,104.0 GFLOPS,"170 mm
6.7 inches",,,,19 W,"1x DVI
1x HDMI 1.3a
1x VGA",11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,,8 KB (per CU),128 KB,Single-slot,200 W,,Radeon R700,Northern Islands,,,,,,,,,,,,
Radeon HD 5570,https://www.techpowerup.com/gpu-specs/radeon-hd-5570.c2216,2011,Turks,320,16,4,1024 MB,GDDR3,128 bit,Turks,Turks LE,TeraScale 2,TSMC,40 nm,716 million,118 mm²,"Oct 11th, 2011","Evergreen
(HD 5500)",End-of-life,,650 MHz,"500 MHz
1000 Mbps effective",1024 MB,GDDR3,128 bit,16.00 GB/s,320,16,4,4,2.600 GPixel/s,10.40 GTexel/s,416.0 GFLOPS,"165 mm
6.5 inches",,,,39 W,"1x DVI
1x HDMI 1.3a
1x VGA",11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,42 in our database,8 KB (per CU),256 KB,Single-slot,200 W,None,Radeon R700,Northern Islands,,C331,,,,,,,,,,
Radeon HD 5630,https://www.techpowerup.com/gpu-specs/radeon-hd-5630.c2064,2011,Redwood,320,16,8,1024 MB,GDDR3,128 bit,Redwood,Redwood LE,TeraScale 2,TSMC,40 nm,627 million,104 mm²,"Feb 15th, 2011","Evergreen
(HD 5600)",End-of-life,,650 MHz,"390 MHz
780 Mbps effective",1024 MB,GDDR3,128 bit,12.48 GB/s,320,16,8,4,5.200 GPixel/s,10.40 GTexel/s,416.0 GFLOPS,"165 mm
6.5 inches",,,,39 W,"1x DVI
1x HDMI 1.3a
1x VGA",11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,,8 KB (per CU),256 KB,Single-slot,200 W,None,Radeon R700,Northern Islands,,,,,,,,,,,,
Radeon HD 5690,https://www.techpowerup.com/gpu-specs/radeon-hd-5690.c2084,2011,Redwood,400,20,8,1024 MB,GDDR3,128 bit,Redwood,"Redwood XT
(215-0757002)",TeraScale 2,TSMC,40 nm,627 million,104 mm²,"Feb 1st, 2011","Evergreen
(HD 5600)",End-of-life,,775 MHz,"1000 MHz
2 Gbps effective",1024 MB,GDDR3,128 bit,32.00 GB/s,400,20,8,5,6.200 GPixel/s,15.50 GTexel/s,620.0 GFLOPS,"168 mm
6.6 inches",,,,64 W,"1x DVI
1x HDMI 1.3a
1x VGA",11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,,8 KB (per CU),256 KB,Single-slot,250 W,,Radeon R700,Northern Islands,,,,,,,,,,,,
Radeon HD 5730,https://www.techpowerup.com/gpu-specs/radeon-hd-5730.c2065,2011,Redwood,400,20,8,1024 MB,GDDR5,128 bit,Redwood,"Redwood XT
(215-0757002)",TeraScale 2,TSMC,40 nm,627 million,104 mm²,"Feb 26th, 2011","Evergreen
(HD 5700)",End-of-life,,775 MHz,"1000 MHz
4 Gbps effective",1024 MB,GDDR5,128 bit,64.00 GB/s,400,20,8,5,6.200 GPixel/s,15.50 GTexel/s,620.0 GFLOPS,"168 mm
6.6 inches",,,,64 W,"1x DVI
1x HDMI 1.3a
1x VGA",11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,,8 KB (per CU),256 KB,Single-slot,250 W,,Radeon R700,Northern Islands,,,,,,,,,,,,
FirePro 2460 Multi-View,https://www.techpowerup.com/gpu-specs/firepro-2460-multi-view.c1385,2010,Cedar,80,8,4,512 MB,DDR3,256 bit,Cedar,Cedar GL,TeraScale 2,TSMC,40 nm,292 million,59 mm²,"Apr 1st, 2010","FirePro Multi-View
(2000)",End-of-life,,500 MHz,"500 MHz
1000 Mbps effective",512 MB,DDR3,256 bit,32.00 GB/s,80,8,4,1,2.000 GPixel/s,4.000 GTexel/s,80.00 GFLOPS,"170 mm
6.7 inches","69 mm
2.7 inches",,,17 W,4x mini-DisplayPort 1.1,11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,10 in our database,,,Single-slot,200 W,None,,,,C070-71,,,,,,,,,,
FirePro M5800,https://www.techpowerup.com/gpu-specs/firepro-m5800.c1671,2010,Madison,400,20,8,1024 MB,GDDR5,128 bit,Madison,Madison XT GL,TeraScale 2,TSMC,40 nm,627 million,104 mm²,"Mar 1st, 2010","FirePro Mobility
(M5xxx)",End-of-life,,650 MHz,"800 MHz
3.2 Gbps effective",1024 MB,GDDR5,128 bit,51.20 GB/s,400,20,8,5,5.200 GPixel/s,13.00 GTexel/s,520.0 GFLOPS,,,,,26 W,No outputs,11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,2 in our database,8 KB (per CU),256 KB,,,,,,,,,,,,,,,,,
FirePro M7820,https://www.techpowerup.com/gpu-specs/firepro-m7820.c1672,2010,Broadway,800,40,16,1024 MB,GDDR5,128 bit,Broadway,Broadway XT GL,TeraScale 2,TSMC,40 nm,"1,040 million",166 mm²,"May 1st, 2010","FirePro Mobility
(M7xxx)",End-of-life,,700 MHz,"1000 MHz
4 Gbps effective",1024 MB,GDDR5,128 bit,64.00 GB/s,800,40,16,10,11.20 GPixel/s,28.00 GTexel/s,"1,120 GFLOPS",,,,,50 W,No outputs,11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,2 in our database,8 KB (per CU),256 KB,MXM Module,,None,,,,B780,,,,,,,,,,
FirePro RG220,https://www.techpowerup.com/gpu-specs/firepro-rg220.c582,2010,M93,80,8,4,512 MB,GDDR3,256 bit,M93,,TeraScale,TSMC,55 nm,242 million,73 mm²,"May 4th, 2010",FirePro RG,End-of-life,,500 MHz,"800 MHz
1600 Mbps effective",512 MB,GDDR3,256 bit,51.20 GB/s,80,8,4,1,2.000 GPixel/s,4.000 GTexel/s,80.00 GFLOPS,"170 mm
6.7 inches","111 mm
4.4 inches",,,35 W,1x DMS-59,10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,10 in our database,,,Single-slot,200 W,None,,,,B925-31,,,,,,,,,,
FirePro V3800,https://www.techpowerup.com/gpu-specs/firepro-v3800.c571,2010,Redwood,400,20,8,512 MB,DDR3,64 bit,Redwood,Redwood PRO GL,TeraScale 2,TSMC,40 nm,627 million,104 mm²,"Apr 26th, 2010","FirePro
(Vx800)",End-of-life,129 USD,650 MHz,"900 MHz
1800 Mbps effective",512 MB,DDR3,64 bit,14.40 GB/s,400,20,8,5,5.200 GPixel/s,13.00 GTexel/s,520.0 GFLOPS,"168 mm
6.6 inches","69 mm
2.7 inches",,,43 W,"1x DVI
1x DisplayPort 1.1",11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,,8 KB (per CU),128 KB,Single-slot,200 W,None,,,,C021-71,,,,,,,,,,
FirePro V4800,https://www.techpowerup.com/gpu-specs/firepro-v4800.c572,2010,Redwood,400,20,8,1024 MB,GDDR5,128 bit,Redwood,Redwood XT GL,TeraScale 2,TSMC,40 nm,627 million,104 mm²,"Apr 26th, 2010","FirePro
(Vx800)",End-of-life,189 USD,775 MHz,"900 MHz
3.6 Gbps effective",1024 MB,GDDR5,128 bit,57.60 GB/s,400,20,8,5,6.200 GPixel/s,15.50 GTexel/s,620.0 GFLOPS,"168 mm
6.6 inches","111 mm
4.4 inches",,,69 W,"1x DVI
2x DisplayPort 1.1",11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,,8 KB (per CU),256 KB,Single-slot,250 W,None,,,,C020-71,,,,,,,,,,
FirePro V5800,https://www.techpowerup.com/gpu-specs/firepro-v5800.c2441,2010,Juniper,800,40,16,1024 MB,GDDR5,128 bit,Juniper,Juniper XT GL,TeraScale 2,TSMC,40 nm,"1,040 million",166 mm²,"Apr 26th, 2010","FirePro
(Vx800)",End-of-life,479 USD,690 MHz,"1000 MHz
4 Gbps effective",1024 MB,GDDR5,128 bit,64.00 GB/s,800,40,16,10,11.04 GPixel/s,27.60 GTexel/s,"1,104 GFLOPS","229 mm
9 inches","111 mm
4.4 inches",,,74 W,"1x DVI
2x DisplayPort 1.1",11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,1 in our database,8 KB (per CU),256 KB,Single-slot,250 W,None,,,,C014-71,,,,,,,,,,
FirePro V5800 DVI,https://www.techpowerup.com/gpu-specs/firepro-v5800-dvi.c561,2010,Juniper,800,40,16,1024 MB,GDDR5,128 bit,Juniper,Juniper XT GL,TeraScale 2,TSMC,40 nm,"1,040 million",166 mm²,"Apr 26th, 2010","FirePro
(Vx800)",End-of-life,529 USD,690 MHz,"1000 MHz
4 Gbps effective",1024 MB,GDDR5,128 bit,64.00 GB/s,800,40,16,10,11.04 GPixel/s,27.60 GTexel/s,"1,104 GFLOPS","229 mm
9 inches","111 mm
4.4 inches",,,74 W,2x DVI,11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,1 in our database,8 KB (per CU),256 KB,Single-slot,250 W,None,,,,C014,,,,,,,,,,
FirePro V7800,https://www.techpowerup.com/gpu-specs/firepro-v7800.c568,2010,Cypress,1440,72,32,2 GB,GDDR5,256 bit,Cypress,Cypress PRO GL,TeraScale 2,TSMC,40 nm,"2,154 million",334 mm²,"Apr 26th, 2010","FirePro
(Vx800)",End-of-life,759 USD,700 MHz,"1000 MHz
4 Gbps effective",2 GB,GDDR5,256 bit,128.0 GB/s,1440,72,32,18,22.40 GPixel/s,50.40 GTexel/s,2.016 TFLOPS,"254 mm
10 inches",,,,150 W,"1x DVI
2x DisplayPort 1.1",11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,,8 KB (per CU),512 KB,Single-slot,450 W,1x 6-pin,,,403.2 GFLOPS (1:5),"C075-01,
C075-71",,,,,,,,,,
FirePro V8800,https://www.techpowerup.com/gpu-specs/firepro-v8800.c570,2010,Cypress,1600,80,32,2 GB,GDDR5,256 bit,Cypress,Cypress XT GL,TeraScale 2,TSMC,40 nm,"2,154 million",334 mm²,"Apr 7th, 2010","FirePro
(Vx800)",End-of-life,"1,499 USD",825 MHz,"1150 MHz
4.6 Gbps effective",2 GB,GDDR5,256 bit,147.2 GB/s,1600,80,32,20,26.40 GPixel/s,66.00 GTexel/s,2.640 TFLOPS,"267 mm
10.5 inches","111 mm
4.4 inches",,,208 W,"4x DisplayPort 1.1
1x S-Video",11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,2 in our database,8 KB (per CU),512 KB,Dual-slot,550 W,2x 6-pin,,,528.0 GFLOPS (1:5),C005-71,,,,,,,,,,
FirePro V9800,https://www.techpowerup.com/gpu-specs/firepro-v9800.c569,2010,Cypress,1600,80,32,4 GB,GDDR5,256 bit,Cypress,Cypress XT GL,TeraScale 2,TSMC,40 nm,"2,154 million",334 mm²,"Sep 9th, 2010","FirePro
(Vx800)",End-of-life,"3,499 USD",850 MHz,"1150 MHz
4.6 Gbps effective",4 GB,GDDR5,256 bit,147.2 GB/s,1600,80,32,20,27.20 GPixel/s,68.00 GTexel/s,2.720 TFLOPS,"267 mm
10.5 inches","111 mm
4.4 inches",,,250 W,"6x mini-DisplayPort 1.1
1x S-Video",11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,,8 KB (per CU),512 KB,Dual-slot,600 W,1x 6-pin + 1x 8-pin,,,544.0 GFLOPS (1:5),C100-71,,,,,,,,,,
FirePro V9800P,https://www.techpowerup.com/gpu-specs/firepro-v9800p.c1875,2010,Cypress,1600,80,32,4 GB,GDDR5,256 bit,Cypress,Cypress XT GL,TeraScale 2,TSMC,40 nm,"2,154 million",334 mm²,"Sep 9th, 2010","FirePro
(Vx800)",End-of-life,"2,499 USD",850 MHz,"1150 MHz
4.6 Gbps effective",4 GB,GDDR5,256 bit,147.2 GB/s,1600,80,32,20,27.20 GPixel/s,68.00 GTexel/s,2.720 TFLOPS,"267 mm
10.5 inches","111 mm
4.4 inches",,,225 W,1x DisplayPort 1.1,11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,,8 KB (per CU),512 KB,Dual-slot,550 W,1x 8-pin,,,544.0 GFLOPS (1:5),C128-81,,,,,,,,,,
Mobility Radeon HD 4225 IGP,https://www.techpowerup.com/gpu-specs/mobility-radeon-hd-4225-igp.c1219,2010,RS880,40,4,4,System Shared,System Shared,System Shared,RS880,RS880M,TeraScale,,55 nm,181 million,67 mm²,"May 1st, 2010","Radeon IGP
(Mobility HD 4000)",End-of-life,,380 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,40,4,4,2,1.520 GPixel/s,1.520 GTexel/s,30.40 GFLOPS,,,,,9 W,No outputs,10.1 (10_1),3.3,1.0,N/A,4.1,PCIe 1.0 x16,,,,IGP,,None,,Palm,,,,,,,,,,,,
Mobility Radeon HD 4250 IGP,https://www.techpowerup.com/gpu-specs/mobility-radeon-hd-4250-igp.c1656,2010,RS880,40,4,4,System Shared,System Shared,System Shared,RS880,RS880M,TeraScale,,55 nm,181 million,67 mm²,"May 1st, 2010","Radeon IGP
(Mobility HD 4000)",End-of-life,,,System Shared,System Shared,System Shared,System Shared,System Dependent,40,4,4,2,2.240 GPixel/s,2.240 GTexel/s,44.80 GFLOPS,,,,,unknown,No outputs,10.1 (10_1),3.3,1.0,N/A,4.1,PCI,,,,IGP,,None,,Palm,,,500 MHz,560 MHz,,,,,,,,
Mobility Radeon HD 4270 IGP,https://www.techpowerup.com/gpu-specs/mobility-radeon-hd-4270-igp.c1220,2010,RS880,40,4,4,System Shared,System Shared,System Shared,RS880,RS880M,TeraScale,,55 nm,181 million,67 mm²,"May 1st, 2010","Radeon IGP
(Mobility HD 4000)",End-of-life,,,,,,,,,,,,,,,,,,,,,,,,,,PCIe 1.0 x16,,,,,,,,Palm,,,,,,,,,,,,
Mobility Radeon HD 4550,https://www.techpowerup.com/gpu-specs/mobility-radeon-hd-4550.c1629,2010,M92,80,8,4,512 MB,GDDR3,64 bit,M92,,TeraScale,TSMC,55 nm,242 million,73 mm²,2010,"M9x
(Mobility HD 4500)",End-of-life,,550 MHz,"700 MHz
1400 Mbps effective",512 MB,GDDR3,64 bit,11.20 GB/s,80,8,4,1,2.200 GPixel/s,4.400 GTexel/s,88.00 GFLOPS,,,,,unknown,No outputs,10.1 (10_1),3.3,1.1,N/A,4.1,MXM-II,2 in our database,16 KB (per CU),64 KB,MXM Module,,,M8x,Manhattan,,,,,,,,,,,,
Mobility Radeon HD 5145,https://www.techpowerup.com/gpu-specs/mobility-radeon-hd-5145.c1640,2010,M92,80,8,4,1024 MB,GDDR3,64 bit,M92,,TeraScale,TSMC,55 nm,242 million,73 mm²,"Jan 7th, 2010","M9x
(Mobility HD 5100)",End-of-life,,720 MHz,"900 MHz
1800 Mbps effective",1024 MB,GDDR3,64 bit,14.40 GB/s,80,8,4,1,2.880 GPixel/s,5.760 GTexel/s,115.2 GFLOPS,,,,,15 W,No outputs,10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,2 in our database,16 KB (per CU),64 KB,,,,M8x,Manhattan,,,,,,,,,,,,
Mobility Radeon HD 5165,https://www.techpowerup.com/gpu-specs/mobility-radeon-hd-5165.c1641,2010,M96,320,32,8,1024 MB,GDDR3,128 bit,M96,,TeraScale,TSMC,55 nm,514 million,146 mm²,"Jan 7th, 2010","M9x
(Mobility HD 5100)",End-of-life,,600 MHz,"900 MHz
1800 Mbps effective",1024 MB,GDDR3,128 bit,28.80 GB/s,320,32,8,4,4.800 GPixel/s,19.20 GTexel/s,384.0 GFLOPS,,,,,35 W,No outputs,10.1 (10_1),3.3,1.1,N/A,4.1,PCIe 2.0 x16,2 in our database,16 KB (per CU),128 KB,,,,M8x,Manhattan,,,,,,,,,,,,
Mobility Radeon HD 530v,https://www.techpowerup.com/gpu-specs/mobility-radeon-hd-530v.c1727,2010,M92,80,8,4,512 MB,GDDR3,64 bit,M92,,TeraScale,TSMC,55 nm,242 million,73 mm²,"May 5th, 2010","M9x
(Mobility HD 500v)",End-of-life,,500 MHz,"600 MHz
1200 Mbps effective",512 MB,GDDR3,64 bit,9.600 GB/s,80,8,4,1,2.000 GPixel/s,4.000 GTexel/s,80.00 GFLOPS,,,,,10 W,No outputs,10.1 (10_1),3.3,1.1,N/A,4.1,MXM-A (3.0),2 in our database,16 KB (per CU),64 KB,MXM Module,,,M8x,Manhattan,,,,,,,,,,,,
Mobility Radeon HD 540v,https://www.techpowerup.com/gpu-specs/mobility-radeon-hd-540v.c2268,2010,M92,80,8,4,512 MB,GDDR3,64 bit,M92,,TeraScale,TSMC,55 nm,242 million,73 mm²,"May 5th, 2010","M9x
(Mobility HD 500v)",End-of-life,,550 MHz,"800 MHz
1600 Mbps effective",512 MB,GDDR3,64 bit,12.80 GB/s,80,8,4,1,2.200 GPixel/s,4.400 GTexel/s,88.00 GFLOPS,,,,,15 W,No outputs,10.1 (10_1),3.3,1.1,N/A,4.1,MXM-A (3.0),2 in our database,16 KB (per CU),64 KB,MXM Module,,,M8x,Manhattan,,,,,,,,,,,,
Mobility Radeon HD 5430,https://www.techpowerup.com/gpu-specs/mobility-radeon-hd-5430.c1642,2010,Park,80,8,4,1024 MB,GDDR3,64 bit,Park,Park LP,TeraScale 2,TSMC,40 nm,292 million,59 mm²,"Jan 7th, 2010","Manhattan
(Mobility HD 5400)",End-of-life,,500 MHz,"800 MHz
1600 Mbps effective",1024 MB,GDDR3,64 bit,12.80 GB/s,80,8,4,1,2.000 GPixel/s,4.000 GTexel/s,80.00 GFLOPS,,,,,7 W,No outputs,11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,2 in our database,8 KB (per CU),128 KB,,,,M9x,Vancouver,,,,,,,,,,,,
Mobility Radeon HD 5450,https://www.techpowerup.com/gpu-specs/mobility-radeon-hd-5450.c1644,2010,Park,80,8,4,1024 MB,GDDR3,64 bit,Park,"Park PRO
(216-0774007)",TeraScale 2,TSMC,40 nm,292 million,59 mm²,"Jan 7th, 2010","Manhattan
(Mobility HD 5400)",End-of-life,,675 MHz,"800 MHz
1600 Mbps effective",1024 MB,GDDR3,64 bit,12.80 GB/s,80,8,4,1,2.700 GPixel/s,5.400 GTexel/s,108.0 GFLOPS,,,,,11 W,No outputs,11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,2 in our database,8 KB (per CU),128 KB,,,,M9x,Vancouver,,,,,,,,,,,,
Mobility Radeon HD 5450,https://www.techpowerup.com/gpu-specs/mobility-radeon-hd-5450.c3136,2010,Park,80,8,4,1024 MB,GDDR3,64 bit,Park,"Park PRO
(216-0774007)",TeraScale 2,TSMC,40 nm,292 million,59 mm²,"Jan 7th, 2010","Manhattan
(Mobility HD 5400)",End-of-life,,650 MHz,"667 MHz
1334 Mbps effective",1024 MB,GDDR3,64 bit,10.67 GB/s,80,8,4,1,2.600 GPixel/s,5.200 GTexel/s,104.0 GFLOPS,,,,,11 W,No outputs,11.2 (11_0),4.4,1.2,N/A,5.0,PCIe 2.0 x16,2 in our database,8 KB (per CU),128 KB,,,,M9x,Vancouver,,,,,,,,,,,,
